1,ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,https://go.drugbank.com/drugs/DB01048
4,ABALOPARATIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=ABALOPARATIDE&search_type=drugs&button=
5,ABAMETAPIR,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=Abametapir&search_type=drugs&button=
6,ABEMACICLIB,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=abemaciclib&search_type=drugs&button=
9,ACALABRUTINIB,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=ACALABRUTINIB&search_type=drugs&button=
12,ACEBUTOLOL HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00772&search_type=drugs&button=
15,ACETAMINOPHEN; BUTALBITAL,https://go.drugbank.com/drugs/DB00316
16,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,https://go.drugbank.com/drugs/DB00241
17,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,https://go.drugbank.com/drugs/DB00201
18,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,https://go.drugbank.com/drugs/DB00318
19,ACETAMINOPHEN; CODEINE PHOSPHATE,https://go.drugbank.com/drugs/DB00316
20,ACETAMINOPHEN; HYDROCODONE BITARTRATE,https://go.drugbank.com/drugs/DB00956
22,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,https://go.drugbank.com/drugs/DB00497
24,ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE,https://go.drugbank.com/drugs/DB00647
28,ACETAZOLAMIDE SODIUM,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00119&search_type=drugs&button=
29,"ACETIC ACID, GLACIAL",https://go.drugbank.com/drugs/DB03166
30,ACETOHYDROXAMIC ACID,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00774&search_type=drugs&button=
31,ACETYLCHOLINE CHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=ACETYLCHOLINE+CHLORIDE&search_type=drugs&button=
33,ACETYLDIGITOXIN,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=ACETYLDIGITOXIN&search_type=drugs&button=
34,ACITRETIN,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00778&search_type=drugs&button=
36,ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00641&search_type=drugs&button=
37,ACRIVASTINE; PSEUDOEPHEDRINE HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00634&search_type=drugs&button=
39,ACYCLOVIR SODIUM,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00567&search_type=drugs&button=
40,ACYCLOVIR; HYDROCORTISONE,https://go.drugbank.com/drugs/DB00787
53,ALCLOMETASONE DIPROPIONATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00783&search_type=drugs&button=
56,ALECTINIB HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=ALECTINIB+HYDROCHLORIDE&search_type=drugs&button=
59,ALFENTANIL HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00726&search_type=drugs&button=
61,ALISKIREN HEMIFUMARATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=ALISKIREN+HEMIFUMARATE&search_type=drugs&button=
63,ALITRETINOIN,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00017&search_type=drugs&button=
68,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00653&search_type=drugs&button=
73,ALUMINUM HYDROXIDE; MAGNESIUM TRISILICATE,https://go.drugbank.com/drugs/DB06723
74,ALVIMOPAN,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=ALVIMOPAN&search_type=drugs&button=
75,AMANTADINE HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00787&search_type=drugs&button=
77,AMCINONIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00788&search_type=drugs&button=
78,AMIFAMPRIDINE PHOSPHATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=amifampridine+phosphate&search_type=drugs&button=
80,AMIKACIN SULFATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00550&search_type=drugs&button=
83,AMINO ACIDS,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=MENTHOL+AND+METHYL+SALICYLATE&search_type=drugs&button=
84,AMINOCAPROIC ACID,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00791&search_type=drugs&button=
85,AMINOLEVULINIC ACID HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00793&search_type=drugs&button=
86,AMINOPHYLLINE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=AMINOPHYLLINE+DIHYDRATE&search_type=drugs&button=
87,AMINOSALICYLIC ACID,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00749&search_type=drugs&button=
88,AMIODARONE HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00288&search_type=drugs&button=
89,AMISULPRIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=Amisulpride&search_type=drugs&button=
90,AMITRIPTYLINE HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00227&search_type=drugs&button=
92,AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE,https://go.drugbank.com/drugs/DB00321
93,AMLODIPINE BENZOATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00520&search_type=drugs&button=
96,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00520&search_type=drugs&button=
100,AMLODIPINE BESYLATE; PERINDOPRIL ARGININE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00520&search_type=drugs&button=
103,AMMONIUM CHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00450&search_type=drugs&button=
104,AMMONIUM LACTATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=AMMONIUM+LACTATE&search_type=drugs&button=
106,AMOXICILLIN,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00248&search_type=drugs&button=
107,AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE,https://go.drugbank.com/drugs/DB01211
108,AMOXICILLIN; CLARITHROMYCIN; OMEPRAZOLE,https://go.drugbank.com/drugs/DB00338
109,AMOXICILLIN; CLARITHROMYCIN; VONOPRAZAN FUMARATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00181&search_type=drugs&button=
110,AMOXICILLIN; CLAVULANATE POTASSIUM,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00248&search_type=drugs&button=
111,AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN,https://go.drugbank.com/drugs/DB00615
112,AMOXICILLIN; VONOPRAZAN FUMARATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00181&search_type=drugs&button=
116,AMPHOTERICIN B,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00797&search_type=drugs&button=
119,AMPRENAVIR,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00605&search_type=drugs&button=
120,ANAGRELIDE HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00798&search_type=drugs&button=
122,ANIDULAFUNGIN,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD01301&search_type=drugs&button=
123,APALUTAMIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=Apalutamide&search_type=drugs&button=
125,APOMORPHINE HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00531&search_type=drugs&button=
128,APREPITANT,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00100&search_type=drugs&button=
130,ARGATROBAN,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00105&search_type=drugs&button=
132,ARIPIPRAZOLE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00638&search_type=drugs&button=
135,ARSENIC TRIOXIDE,https://go.drugbank.com/drugs/DB01169
137,ARTICAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00450&search_type=drugs&button=
138,ASCIMINIB HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=ASCIMINIB+HYDROCHLORIDE&search_type=drugs&button=
141,ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE,https://go.drugbank.com/drugs/DB09287
144,ASPIRIN,https://go.drugbank.com/drugs/DB01050
146,ASPIRIN; BUTALBITAL; CAFFEINE,https://go.drugbank.com/drugs/DB00945
147,ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,https://go.drugbank.com/drugs/DB00241
149,ASPIRIN; CARISOPRODOL,https://go.drugbank.com/drugs/DB00395
151,ASPIRIN; HYDROCODONE BITARTRATE,https://go.drugbank.com/drugs/DB00956
152,ASPIRIN; MEPROBAMATE,https://go.drugbank.com/drugs/DB00371
153,ASPIRIN; METHOCARBAMOL,https://go.drugbank.com/drugs/DB00423
155,ATAZANAVIR SULFATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00804&search_type=drugs&button=
158,ATOGEPANT,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=ATOGEPANT&search_type=drugs&button=
159,ATOMOXETINE HYDROCHLORIDE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00614&search_type=drugs&button=
163,ATRACURIUM BESYLATE,https://www.drugbank.ca/search?utf8=%E2%9C%93&query=APRD00806&search_type=drugs&button=
